Complex_Phrase,frequency,length,aoa,syllable_count,binary_complex,familiarity,concreteness,imaginability,aoa_gpt,CEFR_Level,cluster
respect,5.03,7,4.0,2,0,4.5,2.0,2.5,5.0,B1,2
fort,4.45,4,4.0,1,0,3.5,4.2,4.0,8.0,B1,1
fort,4.45,4,4.0,1,0,3.5,4.2,4.0,8.0,B1,1
meant,4.94,5,4.0,1,1,4.0,1.5,1.5,5.0,A2,3
armored,3.62,7,4.0,3,1,3.0,3.5,3.5,10.0,B2,1
draft,4.61,5,4.0,1,1,4.0,3.0,2.5,7.0,B2,1
draft,4.61,5,4.0,1,1,3.5,3.0,2.5,7.0,B2,1
downtown,4.4,8,4.0,2,1,4.5,3.8,3.2,7.0,B1,1
downtown,4.4,8,4.0,2,1,4.2,3.8,3.5,6.0,B1,1
doubt,4.9,5,4.0,1,1,4.0,2.0,2.5,6.0,B1,2
doubt,4.9,5,4.0,1,1,4.0,2.0,2.5,5.0,B1,2
times,5.56,5,4.0,1,0,4.5,2.0,2.5,3.0,A1,2
quartet,3.54,7,4.0,2,0,3.5,3.0,3.0,8.0,B2,1
produce,4.78,7,4.0,2,0,4.0,3.5,3.0,5.0,B1,1
butcher,3.75,7,4.0,2,1,4.5,4.8,4.7,5.0,B1,4
outlet,4.0,6,4.0,2,0,4.2,3.8,3.5,6.5,B2,1
outlet,4.0,6,4.0,2,0,4.0,3.5,3.0,7.0,B2,1
way,6.01,3,4.0,1,1,4.5,2.5,2.0,3.0,A1,2
way,6.01,3,4.0,1,1,4.5,2.5,2.0,3.0,A1,2
power,5.52,5,4.0,2,0,4.5,2.5,3.0,4.0,A2,2
power,5.52,5,4.0,2,0,4.5,2.5,3.0,5.0,A2,2
brand,4.83,5,4.0,1,0,4.0,2.5,2.0,8.0,B1,2
or,6.54,2,4.0,1,0,4.5,1.2,1.1,3.0,A1,2
effort,4.92,6,4.0,2,1,4.0,2.5,2.0,5.0,B1,2
effort,4.92,6,4.0,2,1,4.0,2.0,2.5,5.0,B1,2
missile,4.14,7,4.0,2,0,4.0,4.2,3.8,8.0,B2,1
missile,4.14,7,4.0,2,0,4.0,4.2,3.8,8.0,B2,1
responsible,4.88,11,4.0,4,0,4.2,2.0,2.5,7.0,B1,5
responsible,4.88,11,4.0,4,0,4.2,2.0,2.5,8.0,B1,5
real,5.6,4,4.0,2,1,4.5,3.0,2.5,4.0,A1,2
real,5.6,4,4.0,2,1,4.0,3.0,2.5,3.5,A1,2
emergency,4.72,9,4.0,4,0,4.2,2.5,2.8,6.0,B1,5
emergency,4.72,9,4.0,4,0,4.5,2.5,3.0,5.0,B1,5
elsewhere,4.46,9,4.0,2,1,3.5,2.0,2.5,8.0,B1,3
elsewhere,4.46,9,4.0,2,1,3.5,2.0,2.5,8.0,B1,3
retirement,4.53,10,4.0,3,1,4.2,3.0,3.5,4.5,B2,1
owing,3.73,5,4.0,2,1,3.5,2.0,2.0,8.0,B2,3
interest,5.17,8,4.0,3,0,4.0,2.0,2.5,3.5,A2,5
interest,5.17,8,4.0,3,0,4.0,2.0,2.5,3.5,A2,5
aside,4.59,5,4.0,2,1,3.5,2.0,2.5,7.0,B2,3
aside,4.59,5,4.0,2,1,3.5,2.0,2.5,7.0,B2,3
duty,4.71,4,4.0,2,0,4.0,2.5,2.0,6.0,B1,2
duty,4.71,4,4.0,2,0,4.0,2.5,2.0,5.0,B1,2
operation,4.92,9,4.0,4,0,4.0,2.5,2.0,7.0,B1,5
operation,4.92,9,4.0,4,0,4.0,2.5,2.0,7.0,B1,5
ashore,3.52,6,4.0,2,1,3.5,3.2,3.8,7.0,B2,1
ashore,3.52,6,4.0,2,1,3.5,3.0,3.5,7.0,B2,1
artistic,4.17,8,4.0,3,0,4.0,2.5,3.5,8.0,B1,1
brief,4.52,5,4.0,1,0,4.0,2.0,2.5,5.0,B1,2
brief,4.52,5,4.0,1,0,4.0,2.5,2.0,6.0,B1,2
masterpiece,3.81,11,4.0,3,1,4.0,3.0,4.5,10.0,B2,1
briefly,4.22,7,4.0,2,1,4.0,2.0,2.5,7.0,B1,2
briefly,4.22,7,4.0,2,1,4.0,2.0,2.5,7.0,B1,2
professor,4.9,9,4.0,3,0,4.5,3.0,3.5,8.0,B1,1
professor,4.9,9,4.0,3,0,4.5,3.0,3.5,8.0,B1,1
ease,4.34,4,4.0,1,0,4.0,2.0,2.5,5.0,B2,2
earnings,4.27,8,4.0,2,0,4.0,2.5,2.0,8.0,B2,3
earnings,4.27,8,4.0,2,0,4.0,2.5,2.0,8.0,B2,3
broad,4.53,5,4.0,1,1,4.0,2.5,2.0,5.0,B1,2
which,6.3,5,4.0,1,0,4.5,1.5,1.2,3.0,A1,2
voter,4.11,5,4.0,2,0,4.0,3.0,3.5,8.0,B1,1
nearby,4.55,6,4.0,2,1,4.0,2.0,2.5,5.0,B1,2
sheriff,4.16,7,4.0,2,0,4.0,4.5,4.2,6.5,B2,4
sheriff,4.16,7,4.0,2,0,4.0,4.5,4.2,6.0,B2,4
determined,4.64,10,4.0,3,1,4.0,2.0,2.5,7.0,B1,5
determined,4.64,10,4.0,3,1,4.0,2.0,2.5,7.0,B1,5
shelf,4.02,5,4.0,1,0,4.2,4.5,4.3,4.0,A1,4
develop,4.75,7,4.0,3,0,4.0,2.0,2.5,5.0,B1,5
dismiss,3.85,7,4.0,2,1,3.5,2.0,2.0,8.0,B2,3
dismiss,3.85,7,4.0,2,1,3.5,2.0,2.0,8.0,B2,3
support,5.53,7,4.0,2,0,4.2,2.5,2.8,4.0,A2,2
support,5.53,7,4.0,2,0,4.2,2.5,2.8,4.0,A2,2
medical,5.16,7,4.0,3,0,4.2,2.5,2.0,8.0,B1,5
architecture,4.42,12,4.0,4,1,4.0,3.5,3.8,10.0,B2,1
capital,5.01,7,4.0,3,0,4.0,2.5,2.0,8.0,B1,5
capital,5.01,7,4.0,3,0,4.0,2.5,2.0,8.0,B1,5
capable,4.61,7,4.0,3,0,4.0,2.0,2.5,8.0,B2,5
capable,4.61,7,4.0,3,0,4.0,2.0,2.5,8.0,B2,5
secretary,4.95,9,4.0,4,0,4.5,3.5,3.0,5.0,A2,1
secretary,4.95,9,4.0,4,0,4.5,3.5,3.0,5.0,A2,1
report,5.32,6,4.0,2,0,4.0,2.5,2.0,7.0,A2,2
report,5.32,6,4.0,2,0,4.0,2.5,2.0,7.0,B1,2
speedway,3.23,8,4.0,2,0,3.5,4.2,3.8,10.0,B2,1
speedway,3.23,8,4.0,2,0,3.5,4.2,3.8,8.0,B2,1
code,5.08,4,4.0,1,0,4.0,2.5,2.0,8.0,B1,2
code,5.08,4,4.0,1,0,4.0,2.5,2.0,8.0,B1,2
capture,4.42,7,4.0,2,1,4.0,3.0,3.5,6.0,B1,1
capture,4.42,7,4.0,2,1,4.0,3.0,3.5,6.0,B1,1
stadium,4.63,7,4.0,3,0,4.5,4.7,4.3,6.5,B1,1
stadium,4.63,7,4.0,3,0,4.2,4.5,4.0,7.0,B1,1
chance,5.26,6,4.0,1,0,4.0,2.0,2.5,5.0,B1,2
chance,5.26,6,4.0,1,0,4.0,2.0,2.5,5.0,A2,2
popular,5.07,7,4.0,3,0,4.5,2.0,2.5,5.0,A2,5
popular,5.07,7,4.0,3,0,4.5,2.0,2.5,5.0,A2,5
replacement,4.44,11,4.0,3,1,3.5,2.5,2.0,8.0,B1,5
replacement,4.44,11,4.0,3,1,3.5,2.5,2.0,8.0,B1,5
deposit,4.24,7,4.0,3,0,3.5,3.0,2.5,8.0,B1,0
search,4.96,6,4.0,1,0,4.0,2.5,2.0,5.0,A2,2
search,4.96,6,4.0,1,0,4.2,2.5,2.8,5.0,A2,2
desert,4.4,6,4.0,2,0,4.0,4.5,4.5,5.0,A2,4
skies,3.91,5,4.0,1,1,4.0,3.5,4.5,4.0,A1,2
description,4.73,11,4.0,3,0,4.0,2.5,3.0,7.0,B1,5
riot,4.09,4,4.0,2,1,4.0,3.5,3.0,8.0,B2,1
riot,4.09,4,4.0,2,1,4.0,3.5,3.0,8.0,B2,1
facing,4.5,6,4.0,2,1,4.0,2.5,2.0,5.0,B2,2
direction,4.93,9,4.0,3,0,4.0,2.5,2.0,5.0,A2,5
direction,4.93,9,4.0,3,0,4.0,2.5,2.0,5.0,A2,5
discussion,4.71,10,4.0,3,0,4.2,2.5,2.8,7.0,B1,5
disappoint,3.67,10,4.0,3,0,4.0,2.0,2.5,6.0,B1,0
disaster,4.39,8,4.0,3,1,4.2,2.5,3.8,7.0,B1,1
disaster,4.39,8,4.0,3,1,4.2,2.5,3.8,7.0,B1,1
disease,4.9,7,4.0,2,0,4.0,2.5,3.0,6.0,B1,2
disease,4.9,7,4.0,2,0,4.0,2.5,3.0,6.0,B1,2
region,5.0,6,6.0,2,0,4.0,3.0,2.5,6.0,B1,2
region,5.0,6,6.0,2,0,4.0,3.0,2.5,6.0,B1,2
severely,4.1,8,6.0,2,0,3.5,2.0,2.5,8.0,B2,3
severe,4.56,6,6.0,2,0,3.8,2.5,2.0,8.0,B2,2
severe,4.56,6,6.0,2,0,3.8,2.5,2.0,8.0,B2,2
ruling,4.29,6,6.0,2,0,3.5,2.5,2.0,8.0,B2,3
pictorial,3.22,9,6.0,3,1,3.0,3.5,4.0,10.0,C1,1
project,5.22,7,6.0,2,0,4.2,3.0,3.5,7.0,A2,1
project,5.22,7,6.0,2,0,4.2,3.0,3.5,7.0,A2,1
qualify,4.19,7,6.0,3,1,3.5,2.0,2.0,8.0,B1,0
portion,4.53,7,6.0,2,0,4.2,3.8,3.5,6.5,B2,1
portion,4.53,7,6.0,2,0,4.2,3.8,3.5,6.5,B2,1
reaction,4.73,8,6.0,3,0,4.2,2.8,3.0,6.5,B1,5
reaction,4.73,8,6.0,3,0,4.2,2.8,3.0,6.0,B1,5
represent,4.58,9,6.0,3,0,4.0,2.0,2.5,7.0,B1,5
setting,4.77,7,6.0,2,0,4.0,2.5,3.0,5.0,B1,2
purchase,4.71,8,6.0,2,1,4.2,3.0,2.5,7.0,B1,2
position,5.21,8,6.0,3,0,4.0,2.5,2.0,5.0,A2,5
position,5.21,8,6.0,3,0,4.0,2.5,2.0,5.0,A2,5
patrol,4.14,6,6.0,2,1,3.8,3.2,3.0,7.0,B2,1
progress,4.78,8,6.0,2,1,4.2,2.1,2.3,6.5,B1,2
proceeding,3.66,10,6.0,3,1,3.2,2.1,2.0,8.5,B2,0
proceeding,3.66,10,6.0,3,1,3.2,2.1,2.0,8.5,B2,0
proper,4.72,6,6.0,2,0,4.0,2.0,2.5,5.0,B1,2
proper,4.72,6,6.0,2,0,4.0,2.0,2.0,5.0,B1,2
roughly,4.36,7,6.0,1,1,3.5,2.0,2.0,6.5,B2,3
roughly,4.36,7,6.0,1,1,3.5,2.0,2.0,6.0,B2,3
secure,4.64,6,6.0,2,0,4.2,2.8,2.5,6.5,B2,2
respond,4.53,7,6.0,2,0,4.0,2.0,2.5,5.0,B1,2
respond,4.53,7,6.0,2,0,4.0,2.0,2.5,5.0,B1,2
remains,4.8,7,6.0,2,0,4.0,3.2,3.5,7.5,B2,1
remains,4.8,7,6.0,2,0,3.5,3.0,2.5,7.0,B2,1
rheumatism,2.62,10,6.0,3,1,3.0,2.5,2.0,10.5,B2,0
plot,4.58,4,6.0,1,0,4.0,2.5,3.0,7.0,B1,1
plot,4.58,4,6.0,1,0,4.0,2.5,3.0,7.0,B1,1
require,4.78,7,6.0,2,0,4.0,2.0,2.5,6.0,B1,2
require,4.78,7,6.0,2,0,4.0,2.0,2.5,6.5,B1,2
permanent,4.57,9,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
permanent,4.57,9,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
practically,4.19,11,6.0,4,0,4.0,2.0,2.5,8.0,B2,5
pounce,2.97,6,6.0,1,1,3.5,3.2,3.8,6.0,B2,1
pounce,2.97,6,6.0,1,1,3.0,3.2,3.5,6.5,B2,1
renew,3.73,5,6.0,2,0,3.5,2.5,2.0,8.0,B2,3
privacy,4.36,7,6.0,3,1,4.0,2.0,2.5,8.0,B2,5
safeguard,3.55,9,6.0,3,1,3.8,2.5,2.7,8.0,B2,0
retreat,4.13,7,6.0,2,1,3.8,3.2,3.5,7.0,B2,1
rare,4.77,4,6.0,1,0,3.0,2.5,2.0,8.0,B1,3
satellite,4.33,9,6.0,3,0,4.0,3.5,3.0,10.0,B2,0
satellite,4.33,9,6.0,3,0,4.0,3.5,3.0,10.0,B2,0
scheme,4.57,6,6.0,1,0,3.8,2.1,2.3,8.5,B2,3
scheme,4.57,6,6.0,1,0,3.5,2.0,2.5,8.0,B2,3
reminder,4.12,8,6.0,3,1,4.0,2.5,3.0,5.0,B1,5
reminder,4.12,8,6.0,3,1,4.0,2.5,3.0,5.0,B1,5
runway,3.92,6,6.0,2,1,3.8,4.2,4.0,8.0,B1,1
runway,3.92,6,6.0,2,1,4.0,4.2,3.8,8.0,B1,1
request,4.76,7,6.0,2,1,4.0,2.0,2.5,5.0,B1,2
request,4.76,7,6.0,2,1,4.0,2.0,2.5,5.0,B1,2
profile,4.82,7,6.0,2,0,4.0,3.0,2.5,8.0,B1,2
profile,4.82,7,6.0,2,0,4.0,3.0,2.5,8.0,B1,2
reform,4.53,6,6.0,2,1,3.8,2.3,2.1,8.5,B2,2
reform,4.53,6,6.0,2,1,3.5,2.5,2.0,10.0,B2,3
secrecy,3.57,7,6.0,3,1,3.5,2.0,2.5,8.0,B2,0
sacrifice,4.29,9,6.0,3,1,4.0,2.5,3.0,8.0,B2,5
response,5.03,8,6.0,2,0,4.2,2.5,2.0,4.0,B1,2
response,5.03,8,6.0,2,0,4.0,2.0,2.5,3.5,B1,2
responsibility,4.75,14,6.0,6,0,4.2,2.0,2.5,8.0,B2,0
responsibility,4.75,14,6.0,6,0,4.2,2.0,2.5,8.0,B2,0
refugee,3.98,7,6.0,3,1,3.5,2.5,3.0,10.0,B2,0
refugee,3.98,7,6.0,3,1,4.0,3.0,3.5,10.0,B2,0
scandal,4.17,7,6.0,2,1,4.0,2.0,2.5,8.0,B2,2
scandal,4.17,7,6.0,2,1,4.0,2.0,2.5,8.5,B2,2
removal,4.35,7,6.0,3,0,3.5,2.5,2.0,7.0,B2,0
pronunciation,3.51,13,6.0,4,0,4.0,2.0,2.5,8.0,B1,0
pronunciation,3.51,13,6.0,4,0,4.0,2.0,2.5,8.0,B1,0
shaken,3.6,6,6.0,2,1,3.5,2.5,2.0,4.0,B2,3
peroxide,3.13,8,6.0,3,0,3.0,3.5,2.5,12.0,B2,1
peroxide,3.13,8,6.0,3,0,3.0,3.5,2.5,10.0,B2,1
regardless,4.48,10,6.0,3,1,4.0,1.5,1.5,10.0,B2,5
percentage,4.48,10,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
percentage,4.48,10,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
primarily,4.48,9,6.0,4,0,3.5,1.5,1.2,8.0,B2,0
prop,3.77,4,6.0,1,1,3.5,3.0,2.5,4.0,B2,3
sergeant,4.11,8,6.0,2,0,4.0,3.5,3.0,8.0,B2,1
serial,4.23,6,6.0,3,0,3.5,2.0,2.5,8.0,B2,0
serial,4.23,6,6.0,3,0,3.5,2.0,2.5,8.0,B2,0
regulation,4.38,10,6.0,4,0,3.8,2.3,2.1,8.0,B2,5
regulation,4.38,10,6.0,4,0,3.8,2.3,2.1,8.5,B2,5
sculpture,3.92,9,6.0,2,1,4.0,4.5,4.5,7.0,B1,4
reign,4.07,5,6.0,1,1,3.5,2.0,2.5,8.0,B2,3
rarely,4.42,6,6.0,2,1,3.0,1.5,1.5,7.0,B1,3
rarely,4.42,6,6.0,2,1,3.5,1.5,1.5,7.0,B1,3
series,5.35,6,6.0,2,1,4.2,2.8,3.0,7.5,B1,2
series,5.35,6,6.0,2,1,4.0,2.5,2.0,7.0,B1,2
presence,4.73,8,6.0,2,0,4.0,2.0,2.5,5.0,B2,2
presence,4.73,8,6.0,2,0,4.0,2.0,2.5,5.0,B2,2
pedestrian,3.71,10,6.0,3,1,4.0,3.5,3.0,8.0,B1,1
pedestrian,3.71,10,6.0,3,1,4.2,3.5,3.0,8.0,B1,1
serious,5.1,7,6.0,3,0,4.5,2.0,2.0,5.0,B1,5
serious,5.1,7,6.0,3,0,4.5,2.0,2.5,5.0,B1,5
seriousness,3.56,11,6.0,3,1,3.5,2.0,2.5,8.0,B2,0
seriousness,3.56,11,6.0,3,1,3.5,2.0,2.5,8.0,B2,0
resort,4.37,6,6.0,2,0,4.0,4.2,4.3,8.0,B1,1
resort,4.37,6,6.0,2,0,4.0,4.2,4.3,8.0,B1,1
recovery,4.58,8,6.0,4,1,4.2,2.8,3.0,6.5,B2,5
recovery,4.58,8,6.0,4,1,4.2,2.8,3.0,6.5,B2,5
resemble,3.73,8,6.0,3,1,3.5,2.0,2.5,7.0,B2,0
resemble,3.73,8,6.0,3,1,3.5,2.0,2.5,7.0,B2,0
senior,4.92,6,6.0,2,1,4.2,2.5,2.8,8.0,B1,2
prediction,3.96,10,6.0,3,1,3.5,2.0,2.5,8.0,B1,0
recent,5.04,6,6.0,2,0,4.0,2.0,2.5,8.0,B1,2
recent,5.04,6,6.0,2,0,4.0,2.0,2.5,8.0,B1,2
recognizable,3.45,12,6.0,5,1,4.0,2.5,2.0,8.0,B2,0
recognizable,3.45,12,6.0,5,1,4.0,2.0,2.5,8.0,C1,0
routine,4.37,7,6.0,2,1,4.2,2.5,2.8,6.0,B1,2
routine,4.37,7,6.0,2,1,4.2,2.8,2.5,6.0,B1,2
residence,4.36,9,6.0,3,1,4.0,3.5,3.0,8.0,B2,0
residence,4.36,9,6.0,3,1,4.0,3.5,3.0,8.0,B2,0
resident,4.38,8,6.0,3,1,4.0,3.0,2.5,8.0,B2,5
resident,4.38,8,6.0,3,1,4.0,3.0,2.5,8.0,B2,5
praise,4.31,6,6.0,1,0,4.2,2.5,3.0,5.0,B2,2
pursuit,4.12,7,6.0,2,1,3.5,2.5,2.0,8.0,B2,3
pursuit,4.12,7,6.0,2,1,3.5,2.5,2.0,8.0,B2,3
security,5.2,8,6.0,4,0,4.5,2.0,2.5,8.0,B1,5
security,5.2,8,6.0,4,0,4.5,2.0,2.5,8.0,B2,5
prey,3.98,4,6.0,1,0,3.5,3.8,3.7,7.0,B2,1
prey,3.98,4,6.0,1,0,3.5,3.8,3.7,7.0,B2,1
probably,5.37,8,6.0,3,0,4.5,1.2,1.1,6.5,B1,5
priest,4.33,6,6.0,1,0,4.0,3.0,3.5,5.0,B1,2
priest,4.33,6,6.0,1,0,4.0,3.2,3.5,6.0,B1,2
role,5.16,4,6.0,1,1,4.0,2.0,2.5,5.0,B1,2
reasonable,4.59,10,6.0,4,0,4.0,2.0,2.5,8.0,B1,5
process,5.26,7,6.0,2,1,4.0,2.5,2.0,7.0,B1,2
process,5.26,7,6.0,2,1,4.0,2.5,2.0,7.0,B1,2
payroll,3.76,7,6.0,2,1,4.0,3.0,2.5,10.0,B2,3
payroll,3.76,7,6.0,2,1,4.0,3.0,2.5,10.0,B2,3
reference,4.74,9,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
reference,4.74,9,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
preserve,4.19,8,6.0,2,1,3.8,3.2,3.0,8.0,B2,1
rally,4.34,5,6.0,2,1,3.8,3.2,3.0,8.0,B2,1
rally,4.34,5,6.0,2,1,3.8,3.2,3.0,8.5,B2,1
previous,5.0,8,6.0,3,0,4.0,2.0,2.0,5.0,B1,5
previous,5.0,8,6.0,3,0,4.0,2.0,2.5,5.0,B1,5
resources,4.91,9,6.0,3,1,4.0,3.0,3.5,8.0,B1,1
resources,4.91,9,6.0,3,1,4.0,3.0,3.5,8.0,B1,1
rape,4.48,4,6.0,1,0,4.0,3.0,3.5,13.0,B2,3
rape,4.48,4,6.0,1,0,4.0,3.0,3.5,13.0,B2,3
relations,4.67,9,6.0,3,0,3.5,2.0,2.5,7.0,B1,0
relations,4.67,9,6.0,3,0,3.5,2.0,2.5,8.0,B1,0
rebel,4.08,5,6.0,2,1,4.0,3.0,3.5,8.0,B2,1
rebel,4.08,5,6.0,2,1,3.5,3.0,3.0,8.0,B2,1
political,5.29,9,6.0,4,0,4.0,2.0,2.5,10.0,B1,5
political,5.29,9,6.0,4,0,4.0,2.0,2.5,10.0,B1,5
rescue,4.48,6,6.0,2,1,4.2,3.5,3.8,4.0,B1,1
rescue,4.48,6,6.0,2,1,4.2,3.5,3.8,4.0,B1,1
polls,4.1,5,6.0,1,0,3.5,2.5,2.0,8.0,B2,3
polls,4.1,5,6.0,1,0,3.5,2.5,2.0,8.0,B2,3
rampage,3.4,7,6.0,2,1,3.0,2.5,2.0,10.0,C1,3
protest,4.45,7,6.0,2,1,4.0,3.2,3.5,8.0,B1,1
protest,4.45,7,6.0,2,1,4.0,3.2,3.5,8.0,B1,1
sharply,3.89,7,6.0,1,0,3.5,2.0,2.5,7.5,B2,3
whether,5.32,7,6.0,2,0,4.5,1.2,1.1,5.0,B1,5
politics,4.87,8,6.0,3,1,4.5,2.0,2.5,10.0,B1,5
ends,4.75,4,6.0,1,0,4.0,2.0,2.5,5.0,A1,2
carbon,4.55,6,6.0,2,1,4.0,3.5,3.0,10.0,B2,1
losses,4.45,6,6.0,2,0,4.0,1.5,1.5,5.0,B1,2
losses,4.45,6,6.0,2,0,4.0,2.0,2.5,6.0,B1,2
reduction,4.39,9,6.0,3,1,3.5,2.5,2.0,8.0,B2,0
reduction,4.39,9,6.0,3,1,3.5,2.5,2.0,8.0,B2,0
papers,4.61,6,6.0,2,0,4.2,3.5,3.8,3.0,A1,1
bracing,3.12,7,6.0,2,0,3.5,3.0,3.0,8.0,C1,1
unusual,4.45,7,6.0,4,0,3.5,2.0,2.5,7.0,B1,0
bases,4.18,5,6.0,2,0,3.5,3.0,2.5,5.0,B2,1
bases,4.18,5,6.0,2,0,3.5,3.0,2.5,7.0,B2,1
thus,4.91,4,6.0,1,0,4.0,1.5,1.5,8.0,B2,3
supreme,4.69,7,6.0,2,0,4.0,2.0,2.5,10.0,B2,3
supreme,4.69,7,6.0,2,0,4.0,2.0,2.5,10.0,B2,3
standard,5.03,8,6.0,2,0,4.0,2.5,2.0,7.0,B1,2
unit,4.95,4,6.0,2,0,4.0,3.0,2.5,7.0,A1,2
unit,4.95,4,6.0,2,0,4.0,3.0,2.5,7.0,A1,2
society,5.17,7,6.0,4,0,4.5,2.0,2.5,7.0,B1,5
society,5.17,7,6.0,4,0,4.5,2.0,2.5,8.5,B1,5
aqua,3.43,4,6.0,2,1,3.0,3.5,3.5,8.0,B2,1
sets,4.69,4,6.0,1,1,3.5,2.5,2.0,4.0,A1,3
sets,4.69,4,6.0,1,1,3.5,2.5,2.0,4.0,A1,3
tone,4.49,4,6.0,1,1,4.0,2.0,2.5,5.0,B1,2
minutes,5.31,7,6.0,3,0,4.5,3.0,2.5,5.0,A1,1
user,4.69,4,6.0,2,0,4.5,2.5,2.0,5.0,A2,2
touched,4.3,7,6.0,2,1,4.0,3.5,3.0,3.0,B1,1
touched,4.3,7,6.0,2,1,4.0,3.2,3.5,3.0,A2,1
stands,4.61,6,6.0,1,0,4.0,3.0,2.5,4.0,A1,2
tense,3.95,5,6.0,1,0,3.5,2.0,2.5,6.0,B1,3
taking,5.39,6,6.0,2,0,4.0,2.0,2.5,3.5,A1,2
taking,5.39,6,6.0,2,0,4.0,2.0,2.5,3.5,A1,2
strongly,4.47,8,6.0,2,0,4.0,2.0,2.0,5.0,B1,5
strongly,4.47,8,6.0,2,0,4.0,2.0,2.0,5.0,B1,5
lack,4.92,4,6.0,1,0,4.0,2.0,2.5,5.0,B1,2
lack,4.92,4,6.0,1,0,4.0,2.0,2.5,5.0,B1,2
aware,4.78,5,6.0,2,0,4.0,2.0,2.5,5.0,B1,2
exports,4.09,7,6.0,2,0,3.5,3.0,2.5,10.0,B1,3
import,4.1,6,6.0,2,0,3.5,2.0,2.0,10.0,B1,3
comment,4.88,7,6.0,2,0,4.0,2.5,2.0,7.0,B1,2
sides,4.73,5,6.0,1,1,3.8,3.0,2.5,3.5,A2,2
taken,5.33,5,6.0,2,0,4.2,2.5,2.0,4.0,A2,2
were,6.34,4,6.0,1,0,4.5,1.5,1.2,4.0,A1,2
noble,4.24,5,6.0,2,0,3.5,2.5,3.0,8.0,B2,1
event,5.18,5,6.0,2,0,4.0,2.5,3.0,5.0,A2,2
event,5.18,5,6.0,2,0,4.0,2.5,3.0,5.0,A2,2
mobile,4.85,6,6.0,2,1,4.5,3.5,3.0,8.0,B1,1
maximum,4.6,7,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
maximum,4.6,7,6.0,3,0,4.0,2.5,2.0,8.0,B1,5
tackle,4.15,6,6.0,2,1,4.2,3.8,3.5,6.5,B1,1
tackle,4.15,6,6.0,2,1,4.2,3.8,3.5,6.5,B1,1
sympathy,4.01,8,6.0,3,1,4.0,2.0,3.0,7.0,B2,5
sympathy,4.01,8,6.0,3,1,4.0,2.0,3.0,7.0,B2,5
suspicion,3.97,9,6.0,3,1,3.5,2.0,2.5,7.0,B2,0
suspicion,3.97,9,6.0,3,1,3.5,2.0,2.5,8.0,B2,0
surgery,4.63,7,6.0,3,1,4.2,3.5,3.0,8.0,B1,0
surgery,4.63,7,6.0,3,1,4.2,3.5,3.0,8.0,B1,0
supposed,4.91,8,6.0,2,0,4.0,2.0,2.5,6.5,B1,2
supposed,4.91,8,6.0,2,0,4.0,2.0,2.5,7.0,B1,2
supply,4.81,6,6.0,2,0,4.0,3.0,2.5,5.0,B1,2
suicide,4.62,7,6.0,3,1,4.0,2.0,2.5,15.0,B2,3
suicide,4.62,7,6.0,3,1,4.0,2.0,2.5,13.0,B2,3
suction,3.36,7,6.0,2,1,3.0,3.5,3.0,8.0,B2,1
successful,4.94,10,6.0,3,0,4.5,2.0,2.5,6.5,B1,5
suburbs,3.96,7,6.0,2,1,4.0,3.5,3.0,8.0,B1,1
subject,4.96,7,6.0,2,0,4.0,2.0,2.5,5.0,A1,2
stuffing,3.47,8,6.0,2,1,4.2,3.8,3.5,6.0,B2,1
struggle,4.62,8,6.0,2,1,4.0,2.0,2.5,5.0,B1,2
topple,2.95,6,6.0,2,1,3.5,3.0,3.5,8.0,B2,1
token,3.82,5,6.0,2,0,3.0,2.0,2.5,10.0,B2,3
token,3.82,5,6.0,2,0,3.5,2.0,2.0,8.0,B2,3
tiring,3.37,6,6.0,2,1,3.5,2.0,2.5,5.0,B1,3
tiring,3.37,6,6.0,2,1,3.5,2.0,2.5,5.0,B1,3
throughout,4.99,10,6.0,2,1,4.2,1.8,1.5,7.5,B2,5
throughout,4.99,10,6.0,2,1,4.0,2.0,2.5,7.5,B2,2
throttle,3.47,8,6.0,2,1,3.0,3.2,2.8,10.5,B2,1
throttle,3.47,8,6.0,2,1,3.8,3.2,3.0,10.5,B2,1
threaten,3.94,8,6.0,2,1,4.0,2.0,2.5,6.5,B1,2
threaten,3.94,8,6.0,2,1,4.0,2.0,2.5,6.5,B1,2
themselves,5.16,10,6.0,2,0,4.0,1.5,1.5,5.0,B1,5
text,5.01,4,6.0,1,0,4.5,2.0,2.5,5.0,A2,2
terrorist,4.35,9,6.0,3,0,4.2,3.0,3.5,12.0,B2,0
terrorist,4.35,9,6.0,3,0,4.2,3.0,3.5,12.0,B2,0
territorial,3.91,11,6.0,4,0,3.0,2.0,2.5,10.0,B2,0
terrain,3.94,7,6.0,2,1,3.8,4.2,4.0,8.0,B2,1
term,5.23,4,6.0,1,0,3.5,2.5,2.0,8.0,B1,3
term,5.23,4,6.0,1,0,3.5,2.0,2.0,8.0,B1,3
tension,4.22,7,6.0,2,0,4.0,2.3,2.5,6.5,B2,2
