,word,complex_percentage,length,frequency,aoa,Familiarity,Concreteness
1445,dehydration,50.0,11,3.31,9.37,0.0,0.0
1448,delay,10.0,5,4.4,8.78,0.0,0.0
1449,delayed,20.0,7,4.2,,0.0,0.0
1450,deliberate,26.666666666666668,10,3.82,11.4,508.0,0.0
1451,deliver,20.0,7,4.55,6.63,529.0,393.0
1452,delivered,20.0,9,4.62,,0.0,0.0
1453,delivering,30.0,10,4.09,,0.0,0.0
1455,demand,10.0,6,4.84,7.83,0.0,0.0
1456,demanding,10.0,9,4.13,,0.0,0.0
1457,demands,12.5,7,4.41,,0.0,0.0
1458,democracy,10.0,9,4.51,10.17,566.0,298.0
1459,democratic,3.3333333333333335,10,4.73,10.22,0.0,0.0
1460,demonstrations,40.0,14,3.78,,0.0,0.0
1461,demonstrators,22.5,13,3.28,,0.0,0.0
1462,denied,20.0,6,4.43,,0.0,0.0
1463,denies,10.0,6,3.73,,0.0,0.0
1464,denounced,50.0,9,3.47,,0.0,0.0
1465,dense,20.0,5,3.98,10.2,524.0,353.0
1466,denunciations,100.0,13,2.37,,0.0,0.0
1467,deny,15.0,4,4.34,7.8,0.0,0.0
1468,denying,20.0,7,3.95,,0.0,0.0
1469,departed,30.0,8,3.78,,0.0,0.0
1470,department,4.0,10,5.23,9.84,596.0,447.0
1471,departure,38.0,9,4.22,9.78,0.0,0.0
1472,depending,0.0,9,4.56,,0.0,0.0
1473,deploy,63.333333333333336,6,3.7,12.44,0.0,0.0
1474,deployed,58.57142857142857,8,4.03,,0.0,0.0
1475,deployment,45.38461538461539,10,3.91,12.29,0.0,0.0
1476,deployments,40.0,11,3.15,,0.0,0.0
1477,deposit,0.0,7,4.24,8.65,532.0,417.0
1478,deposits,0.0,8,4.0,,0.0,0.0
1479,deputies,32.666666666666664,8,3.71,,0.0,0.0
1480,deputy,7.6923076923076925,6,4.55,6.45,462.0,455.0
1482,derived,40.0,7,4.29,,0.0,0.0
1483,descent,40.0,7,3.93,9.84,0.0,0.0
1484,describe,17.5,8,4.56,7.67,610.0,0.0
1485,described,8.181818181818182,9,5.0,,0.0,0.0
1486,describing,10.0,10,4.23,,0.0,0.0
1487,description,5.0,11,4.73,8.8,556.0,341.0
1488,desert,0.0,6,4.4,8.35,0.0,0.0
1489,deserters,50.0,9,2.76,,0.0,0.0
1490,deserve,20.0,7,4.59,7.94,0.0,0.0
1491,design,10.0,6,5.17,10.05,538.0,444.0
1492,designate,40.0,9,3.37,11.6,0.0,0.0
1493,designed,10.0,8,4.96,,0.0,0.0
1494,designer,20.0,8,4.42,9.05,0.0,0.0
1495,designs,0.0,7,4.38,,0.0,0.0
1496,desired,10.0,7,4.16,,0.0,0.0
1497,desperate,20.0,9,4.32,9.22,0.0,0.0
1498,despite,22.666666666666668,7,5.0,,0.0,0.0
1501,destabilizes,50.0,12,1.95,,,
1502,destination,30.0,11,4.24,8.56,0.0,0.0
1503,destroy,5.0,7,4.52,6.7,551.0,367.0
1504,destroyed,11.0,9,4.61,,0.0,0.0
1505,destroying,10.0,10,4.09,,0.0,0.0
1506,details,10.0,7,4.91,,0.0,0.0
1507,detain,32.5,6,3.21,12.28,0.0,0.0
1508,detained,66.15384615384616,8,3.81,,0.0,0.0
1509,detainees,40.0,9,3.39,,0.0,0.0
1510,detection,10.0,9,4.06,10.33,0.0,0.0
1511,detectives,30.0,10,3.67,,0.0,0.0
1512,detention,27.5,9,3.96,10.16,0.0,0.0
1513,deteriorated,50.0,12,3.35,,0.0,0.0
1514,deterioration,50.0,13,3.43,12.65,0.0,0.0
1515,determination,30.0,13,4.16,8.94,527.0,243.0
1516,determine,20.0,9,4.63,8.89,539.0,0.0
1517,determined,37.5,10,4.64,,0.0,0.0
1518,deterred,100.0,8,2.9,,0.0,0.0
1519,detonated,52.857142857142854,9,3.12,,0.0,0.0
1520,detonating,70.0,10,2.64,,0.0,0.0
1521,detrimental,55.0,11,3.55,12.16,0.0,0.0
1524,devastated,100.0,10,3.72,,0.0,0.0
1525,devastating,80.0,11,3.85,11.06,0.0,0.0
1526,develop,10.0,7,4.75,7.28,558.0,0.0
1527,developed,6.666666666666667,9,4.95,,0.0,0.0
1528,development,4.444444444444445,11,5.31,8.63,536.0,316.0
1529,developments,20.0,12,4.22,,0.0,0.0
1530,devices,11.25,7,4.59,,0.0,0.0
1531,devious,100.0,7,3.03,9.79,0.0,0.0
1536,dharma,20.0,6,3.27,,,
1538,diabetes,10.0,8,4.17,10.74,0.0,0.0
1539,diagnosed,65.0,9,4.05,,0.0,0.0
1540,diagonally,15.0,10,2.94,,0.0,0.0
1541,dialogue,20.0,8,4.29,11.0,0.0,0.0
1543,dictation,50.0,9,2.71,12.11,432.0,356.0
1544,die,10.0,3,5.07,4.53,569.0,358.0
1546,diet,0.0,4,4.57,9.25,556.0,449.0
1547,different,10.0,9,5.59,5.5,558.0,0.0
1548,difficult,4.0,9,5.07,5.85,0.0,0.0
1549,difficulties,10.0,12,4.21,,0.0,0.0
1550,diffraction,100.0,11,3.05,14.08,0.0,0.0
1551,diffuse,23.333333333333332,7,3.28,11.17,0.0,0.0
1552,digger,30.0,6,3.17,,0.0,0.0
1553,digging,50.0,7,3.99,,0.0,0.0
1554,digital,0.0,7,4.83,11.42,0.0,0.0
1555,dignitaries,100.0,11,3.1,,0.0,0.0
1557,dinosaur,0.0,8,3.77,4.91,0.0,0.0
1558,dinosaurs,0.0,9,3.72,,0.0,0.0
1560,diplomat,10.0,8,3.69,11.05,0.0,0.0
1561,diplomatic,17.727272727272727,10,4.11,12.21,0.0,0.0
1562,diplomatically,36.666666666666664,14,2.58,,0.0,0.0
1563,diplomats,27.5,9,3.53,,0.0,0.0
1564,dipped,50.0,6,3.54,,0.0,0.0
1565,dire,40.0,4,3.66,11.63,0.0,0.0
1566,direct,10.0,6,4.91,9.68,0.0,0.0
1567,directed,0.0,8,4.6,,0.0,0.0
1568,direction,10.0,9,4.93,6.68,562.0,336.0
1569,directors,10.0,9,4.45,,0.0,0.0
1570,disabled,40.0,8,4.29,7.67,0.0,0.0
1572,disagreed,50.0,9,3.49,,0.0,0.0
1573,disappoint,10.0,10,3.67,7.0,537.0,331.0
1574,disappointed,20.0,12,4.42,6.95,547.0,290.0
1575,disassociate,100.0,12,2.35,13.67,0.0,0.0
1576,disaster,36.666666666666664,8,4.39,8.22,548.0,405.0
1577,discharged,60.0,10,3.76,,0.0,0.0
1578,disciplinary,3.3333333333333335,12,3.75,9.0,0.0,0.0
1579,disclose,20.0,8,3.84,11.72,0.0,0.0
1580,discontent,26.25,10,3.37,11.86,0.0,0.0
1581,discounted,80.0,10,3.58,,0.0,0.0
1582,discovered,16.666666666666668,10,4.74,,0.0,0.0
1583,discovering,0.0,11,3.82,,0.0,0.0
1584,discovers,0.0,9,3.62,,0.0,0.0
1585,discovery,14.285714285714286,9,4.45,7.84,513.0,332.0
1586,discredit,90.0,9,3.36,11.1,0.0,0.0
1587,discredited,35.0,11,3.15,,0.0,0.0
1588,discredits,63.333333333333336,10,2.19,,0.0,0.0
1589,discrimination,90.0,14,4.31,10.89,0.0,0.0
1590,discusses,10.0,9,3.93,,0.0,0.0
1591,discussion,0.0,10,4.71,7.4,541.0,341.0
1592,discussions,20.0,11,4.28,,0.0,0.0
1593,disease,10.0,7,4.9,7.55,580.0,504.0
1594,diseases,20.0,8,4.36,,0.0,0.0
1596,disgraceful,90.0,11,3.33,9.1,0.0,0.0
1597,disguised,56.666666666666664,9,3.56,,0.0,0.0
1598,dismembered,50.0,11,2.79,,0.0,0.0
1599,dismiss,40.0,7,3.85,8.15,0.0,0.0
1600,dismissed,18.571428571428573,9,4.2,,0.0,0.0
1601,disparate,23.333333333333332,9,3.26,16.0,0.0,0.0
1602,dispatch,40.0,8,3.76,11.0,0.0,0.0
1603,dispatched,45.0,10,3.61,,0.0,0.0
1604,dispelling,60.0,10,2.41,,0.0,0.0
1605,display,10.0,7,4.63,7.72,567.0,462.0
1606,disposed,70.0,8,3.55,,0.0,0.0
1607,disputed,35.45454545454545,8,3.76,,0.0,0.0
1608,disputes,32.5,8,3.96,,0.0,0.0
1609,disputing,27.5,9,2.89,,0.0,0.0
1610,disrespected,35.0,12,2.93,,,
1611,disruption,65.0,10,3.71,9.44,0.0,0.0
1612,disruptive,55.0,10,3.46,8.79,453.0,318.0
1613,dissent,85.0,7,3.56,11.44,0.0,0.0
1614,dissidents,50.0,10,3.09,,0.0,0.0
1615,dissolution,90.0,11,3.61,13.1,0.0,0.0
1616,dissolved,6.666666666666667,9,3.87,,0.0,0.0
1617,distinct,30.0,8,4.29,10.5,490.0,247.0
1618,distinction,70.0,11,4.1,10.35,492.0,265.0
1619,distinctive,24.0,11,4.0,10.39,0.0,0.0
1620,distinguish,15.0,11,3.87,11.28,0.0,0.0
1621,distraught,100.0,10,3.15,11.0,0.0,0.0
1622,distressing,100.0,11,3.2,10.32,0.0,0.0
1623,district,0.0,8,5.04,9.79,0.0,0.0
1624,districts,0.0,9,4.31,,0.0,0.0
1625,disturbance,32.0,11,3.61,9.33,0.0,0.0
1626,dived,16.666666666666668,5,2.97,,0.0,0.0
1627,diverse,35.0,7,4.24,12.0,0.0,0.0
1628,divert,22.0,6,3.42,11.33,0.0,0.0
1629,divide,0.0,6,4.12,7.16,0.0,0.0
1630,divided,5.0,7,4.47,,0.0,0.0
1631,divides,20.0,7,3.45,,0.0,0.0
1632,divisions,3.3333333333333335,9,4.11,,0.0,0.0
1635,doctorate,20.0,9,3.38,13.78,0.0,0.0
1636,document,2.5,8,4.5,9.86,0.0,0.0
1637,documentary,0.0,11,4.31,11.56,0.0,0.0
1638,documented,33.333333333333336,10,4.0,,0.0,0.0
1639,documents,0.0,9,4.64,,0.0,0.0
1641,dome,16.666666666666668,4,3.9,8.44,504.0,517.0
1642,domestic,25.0,8,4.69,10.55,0.0,0.0
1643,dominance,25.0,9,3.83,10.11,0.0,0.0
1644,dominant,35.0,8,4.23,11.11,0.0,0.0
1645,dominated,46.666666666666664,9,4.18,,0.0,0.0
1647,domino,25.0,6,3.23,6.17,0.0,0.0
1650,door,5.714285714285714,4,5.08,3.05,630.0,606.0
1651,doorstep,40.0,8,3.5,6.11,0.0,0.0
1654,dotted,20.0,6,3.41,6.0,0.0,0.0
1655,dotting,30.0,7,2.39,,0.0,0.0
1656,doubt,11.428571428571429,5,4.9,8.79,0.0,0.0
1658,doubts,6.666666666666667,6,3.95,,0.0,0.0
1661,downgraded,100.0,10,3.14,,0.0,0.0
1662,downplayed,50.0,10,2.72,,,
1663,downtown,40.0,8,4.4,,0.0,0.0
1664,downturn,34.0,8,3.19,8.5,,
1665,dozens,11.666666666666666,6,4.13,,0.0,0.0
1666,draft,22.5,5,4.61,7.58,0.0,0.0
1667,drafts,25.0,6,3.58,,0.0,0.0
1668,dragged,15.0,7,4.0,,0.0,0.0
1669,dramatic,20.0,8,4.41,8.72,0.0,0.0
1670,drastic,37.5,7,3.63,10.78,0.0,0.0
1671,draw,25.0,4,4.81,4.11,542.0,442.0
1672,drawing,6.666666666666667,7,4.58,,0.0,0.0
1673,drawn,0.0,5,4.53,,0.0,0.0
1674,dressed,10.0,7,4.42,,0.0,0.0
1675,dried,20.0,5,4.04,,0.0,0.0
1676,drill,45.0,5,4.09,7.14,473.0,516.0
1677,drilled,35.0,7,3.51,,0.0,0.0
1678,drink,5.0,5,4.9,3.47,628.0,549.0
1679,dripping,36.666666666666664,8,3.48,,0.0,0.0
1680,drive,3.3333333333333335,5,5.13,5.26,0.0,0.0
1681,driven,0.0,6,4.54,,0.0,0.0
1682,driver,2.5,6,4.75,4.95,593.0,553.0
1683,driving,5.0,7,4.9,,0.0,0.0
1684,drop,10.0,4,4.99,3.26,577.0,320.0
1685,dropped,20.0,7,4.73,,0.0,0.0
1686,drops,10.0,5,4.33,,0.0,0.0
1687,drove,10.0,5,4.36,,432.0,447.0
1688,dry,10.0,3,4.74,4.11,615.0,0.0
1689,dubbed,100.0,6,3.81,,0.0,0.0
1690,duchy,33.333333333333336,5,3.0,12.9,0.0,0.0
1691,duck,20.0,4,4.21,3.5,529.0,606.0
1692,ducked,46.666666666666664,6,3.01,,0.0,0.0
1693,due,10.0,3,5.35,7.53,0.0,0.0
1694,duly,10.0,4,3.44,,0.0,0.0
1695,dumping,45.0,7,3.67,,0.0,0.0
1697,dust,10.0,4,4.41,5.06,558.0,550.0
1698,dutch,20.0,5,4.41,,0.0,0.0
1699,duty,10.0,4,4.71,7.15,543.0,322.0
1701,dwarf,20.0,5,3.75,7.65,0.0,0.0
1702,dwarfs,26.666666666666668,6,3.17,,0.0,0.0
1704,dyes,10.0,4,3.29,,0.0,0.0
1706,ear,0.0,3,4.43,3.63,560.0,640.0
1708,earlier,3.3333333333333335,7,4.98,,0.0,0.0
1709,earmarked,100.0,9,3.0,,0.0,0.0
1710,earned,10.0,6,4.55,,0.0,0.0
1711,earnest,30.0,7,3.66,10.22,0.0,0.0
1712,earnings,10.0,8,4.27,8.06,0.0,0.0
1713,earth,5.0,5,5.06,5.37,580.0,580.0
1714,ease,5.0,4,4.34,9.11,519.0,305.0
1715,easily,0.0,6,4.91,,0.0,0.0
1716,east,10.0,4,5.16,6.94,574.0,363.0
1718,eastern,8.333333333333334,7,4.78,8.61,0.0,0.0
1719,echoed,43.333333333333336,6,3.4,,0.0,0.0
1720,economic,7.0,8,5.1,12.0,0.0,0.0
1721,economics,10.0,9,4.42,12.3,0.0,0.0
1722,economist,20.0,9,3.87,12.32,0.0,0.0
1723,economy,5.0,7,4.87,12.56,580.0,284.0
1727,edge,10.0,4,4.74,6.17,569.0,465.0
1728,edging,15.0,6,3.15,,0.0,0.0
1730,edit,40.0,4,4.3,9.57,0.0,0.0
1731,edited,15.0,6,4.31,,0.0,0.0
1732,editing,0.0,7,4.27,10.21,0.0,0.0
1733,edition,10.0,7,4.8,8.42,499.0,439.0
1734,editor,3.3333333333333335,6,4.62,10.11,0.0,0.0
1735,edits,10.0,5,3.44,,0.0,0.0
1736,education,0.0,9,5.28,6.7,585.0,320.0
1738,effect,15.0,6,5.02,9.26,602.0,295.0
1739,effective,0.0,9,4.89,10.83,0.0,0.0
1740,effectively,10.0,11,4.49,,0.0,0.0
1741,effects,0.0,7,4.89,,0.0,0.0
1742,efficient,20.0,9,4.42,11.53,503.0,0.0
1743,effort,23.333333333333332,6,4.92,8.16,585.0,296.0
1744,efforts,10.0,7,4.77,,0.0,0.0
1746,eighteenth,5.0,10,3.48,,0.0,0.0
1747,eighth,0.0,6,4.2,,0.0,0.0
1749,elderly,10.0,7,4.15,8.17,0.0,0.0
1750,eldest,10.0,6,3.69,,0.0,0.0
1751,election,1.4285714285714286,8,5.08,9.17,535.0,343.0
1753,elections,3.75,9,4.66,,0.0,0.0
1754,electoral,1.6666666666666667,9,4.12,12.0,0.0,0.0
1755,electromagnetic,25.0,15,3.58,13.4,0.0,0.0
1756,electronic,5.0,10,4.55,7.3,0.0,0.0
1757,element,5.0,7,4.46,10.5,0.0,0.0
1758,elements,6.666666666666667,8,4.7,,0.0,0.0
1759,elephants,0.0,9,3.81,,0.0,0.0
1760,elevation,50.0,9,3.9,9.95,0.0,0.0
1761,eligible,10.0,8,4.29,10.84,0.0,0.0
1762,elite,27.5,5,4.4,12.39,0.0,0.0
1763,elsewhere,16.0,9,4.46,,0.0,0.0
1764,emanating,40.0,9,3.03,,0.0,0.0
1765,embassy,9.655172413793103,7,4.13,12.0,0.0,0.0
1767,emerge,37.5,6,3.89,9.76,0.0,0.0
1768,emerged,70.0,7,4.16,,0.0,0.0
1769,emergency,10.0,9,4.72,5.94,558.0,334.0
1770,emirate,2.5,7,2.75,,0.0,0.0
1771,emirates,5.0,8,3.73,,0.0,0.0
1773,emission,25.0,8,3.7,13.26,446.0,397.0
1774,emotion,0.0,7,4.19,6.37,549.0,260.0
1775,emotional,15.0,9,4.66,9.45,566.0,0.0
1776,emperor,2.0,7,4.25,7.44,379.0,527.0
1778,emphasizing,50.0,11,3.36,,0.0,0.0
1779,emphatically,50.0,12,3.07,,0.0,0.0
1780,empire,0.0,6,4.54,8.44,479.0,429.0
1781,employees,10.0,9,4.81,,0.0,0.0
1782,employment,6.666666666666667,10,4.56,9.5,531.0,424.0
1783,empress,15.0,7,3.45,9.61,0.0,0.0
1785,en,26.666666666666668,2,4.5,,0.0,0.0
1786,enable,15.0,6,4.3,10.42,0.0,0.0
1787,enacted,70.0,7,3.75,,0.0,0.0
1788,enactment,100.0,9,3.22,10.82,0.0,0.0
1789,enclave,40.0,7,3.19,14.29,0.0,0.0
1790,enclosure,50.0,9,3.61,9.72,0.0,0.0
1791,encodes,70.0,7,2.69,,0.0,0.0
1792,encoding,25.0,8,3.38,,0.0,0.0
1793,encounter,40.0,9,4.26,8.63,463.0,316.0
1794,encourage,20.0,9,4.45,8.5,0.0,0.0
1795,encouraged,40.0,10,4.32,,0.0,0.0
1796,encouraging,10.0,11,4.14,7.89,0.0,0.0
1797,end,0.0,3,5.68,4.28,592.0,320.0
1798,endangered,40.0,10,3.86,,0.0,0.0
1799,ending,0.0,6,4.68,5.25,0.0,0.0
1800,ends,5.0,4,4.75,,0.0,0.0
1801,enduring,100.0,8,3.67,11.21,0.0,0.0
1802,enemies,5.0,7,4.4,,0.0,0.0
1803,enemy,0.0,5,4.7,7.26,523.0,434.0
1804,enforcement,23.333333333333332,11,4.45,9.83,0.0,0.0
1805,engaged,22.0,7,4.52,,0.0,0.0
1806,engine,0.0,6,4.84,6.28,543.0,586.0
1807,engineer,10.0,8,4.5,9.89,514.0,531.0
1808,engineered,15.0,10,3.71,,0.0,0.0
1809,engineering,0.0,11,4.8,12.06,0.0,0.0
1811,enigmatic,100.0,9,3.11,14.0,0.0,0.0
1812,enjoyed,10.0,7,4.59,,0.0,0.0
1813,enormous,33.333333333333336,8,4.25,6.53,0.0,0.0
1815,ensued,100.0,6,3.34,,0.0,0.0
1816,ensuing,55.0,7,3.54,12.72,0.0,0.0
1817,ensure,32.5,6,4.7,11.11,0.0,0.0
1818,ensured,80.0,7,3.54,,0.0,0.0
1819,ensures,30.0,7,3.6,,0.0,0.0
1820,entailing,90.0,9,2.09,,0.0,0.0
1821,enter,5.0,5,4.81,5.67,0.0,0.0
1822,entered,10.0,7,4.72,,0.0,0.0
1823,entering,10.0,8,4.42,,540.0,0.0
1824,enterprise,17.5,10,4.38,12.89,407.0,331.0
1825,enterprises,20.0,11,4.0,,0.0,0.0
1826,entire,10.0,6,5.09,7.22,531.0,0.0
1827,entirety,36.666666666666664,8,3.69,9.9,0.0,0.0
1828,entrance,20.0,8,4.39,6.84,555.0,484.0
1830,envoy,24.0,5,3.48,13.11,0.0,0.0
1831,epic,20.0,4,4.35,10.86,0.0,0.0
1832,epics,10.0,5,2.91,,0.0,0.0
1834,epigrams,40.0,8,2.27,,0.0,0.0
1835,episodes,22.5,8,4.43,,0.0,0.0
1837,equal,0.0,5,4.65,6.47,591.0,0.0
1838,equipment,11.25,9,4.88,7.5,543.0,532.0
1839,equity,80.0,6,4.3,15.53,319.0,303.0
1840,era,5.714285714285714,3,4.67,11.14,0.0,0.0
1843,eroding,100.0,7,2.85,10.17,0.0,0.0
1844,erring,58.333333333333336,6,2.31,,0.0,0.0
1845,error,15.0,5,4.55,6.21,542.0,373.0
1846,erupted,73.33333333333333,7,3.39,,0.0,0.0
1847,es,0.0,2,3.93,,,
1848,escalates,23.333333333333332,9,2.78,,0.0,0.0
1849,escape,20.0,6,4.64,6.6,524.0,341.0
1850,escaping,10.0,8,3.73,,0.0,0.0
1851,escorted,100.0,8,3.49,,0.0,0.0
1852,especially,6.0,10,5.21,,0.0,0.0
1853,espionage,96.66666666666669,9,3.47,10.6,0.0,0.0
1854,essential,5.0,9,4.61,10.28,546.0,0.0
1855,establish,16.666666666666668,9,4.46,10.63,0.0,0.0
1856,established,23.75,11,4.9,,0.0,0.0
1857,establishment,60.0,13,4.42,10.37,486.0,391.0
1858,estate,13.333333333333334,6,4.82,10.84,498.0,541.0
1859,estimate,20.0,8,4.29,8.78,505.0,293.0
1860,estimated,24.0,9,4.62,,0.0,0.0
1861,estimates,22.0,9,4.3,,0.0,0.0
1866,ethical,20.0,7,4.07,10.9,379.0,0.0
1867,ethnic,18.0,6,4.33,10.89,0.0,0.0
1870,eulogies,70.0,8,2.31,,0.0,0.0
1871,euro,2.0,4,4.09,13.89,,
1874,euros,2.0,5,3.78,,,
1878,evacuated,86.66666666666667,9,3.66,,0.0,0.0
1879,evacuation,36.0,10,3.74,9.56,378.0,320.0
1880,evade,70.0,5,3.39,11.11,0.0,0.0
1881,evaded,55.0,6,2.91,,0.0,0.0
1882,evaluated,100.0,9,3.83,,0.0,0.0
1883,evaporation,60.0,11,3.08,10.39,0.0,0.0
1884,event,10.0,5,5.18,7.81,574.0,379.0
1885,events,5.0,6,5.08,,0.0,0.0
1886,eventually,35.0,10,4.88,,0.0,0.0
1888,everywhere,0.0,10,4.66,,0.0,0.0
1889,evidence,17.272727272727273,8,5.14,10.58,504.0,340.0
1890,evolution,12.5,9,4.41,10.0,523.0,304.0
1891,evolve,25.0,6,3.8,10.63,0.0,0.0
1892,evolved,22.5,7,4.09,,0.0,0.0
1894,examination,15.0,11,4.26,8.0,570.0,464.0
1895,examined,15.0,8,4.1,,0.0,0.0
1896,exasperated,100.0,11,2.94,12.83,0.0,0.0
1897,except,15.0,6,5.02,,0.0,0.0
1898,exception,25.0,9,4.35,9.39,512.0,260.0
1899,excessive,10.0,9,4.12,10.0,493.0,0.0
1900,exchange,20.0,8,4.85,8.35,504.0,356.0
1901,exchanged,25.0,9,3.74,,0.0,0.0
1902,exchanges,10.0,9,3.95,,0.0,0.0
1903,excited,20.0,7,4.74,6.21,0.0,0.0
1904,exciting,0.0,8,4.54,6.26,576.0,0.0
1905,excluded,16.666666666666668,8,3.89,,0.0,0.0
1906,exclusion,22.857142857142858,9,3.68,10.39,354.0,293.0
1907,exclusive,12.857142857142858,9,4.56,10.16,0.0,0.0
1908,excused,40.0,7,3.28,,0.0,0.0
1909,executed,26.666666666666668,8,4.27,,0.0,0.0
1910,executions,45.0,10,3.44,,0.0,0.0
1911,executive,8.333333333333334,9,4.87,11.65,458.0,477.0
1912,exercises,20.0,9,4.12,,0.0,0.0
1913,exhausted,65.0,9,4.08,,0.0,0.0
1914,exhibited,30.0,9,3.86,,0.0,0.0
1915,exhibition,20.0,10,4.37,11.25,0.0,0.0
1916,exist,0.0,5,4.73,8.89,0.0,0.0
1917,existence,10.0,9,4.55,11.61,0.0,0.0
1918,exiting,30.0,7,3.34,,0.0,0.0
1919,expands,5.0,7,3.58,,0.0,0.0
1920,expatriates,66.66666666666667,11,2.84,,0.0,0.0
1921,expectations,13.333333333333334,12,4.44,,0.0,0.0
1922,expected,9.473684210526317,8,4.96,,0.0,0.0
1923,expedited,100.0,9,2.98,,0.0,0.0
1924,expelled,60.0,8,3.7,,0.0,0.0
1925,expenses,0.0,8,4.33,,0.0,0.0
1926,experience,10.0,10,5.27,8.95,604.0,275.0
1927,experiences,10.0,11,4.55,,0.0,0.0
1928,experiment,5.0,10,4.38,8.58,0.0,0.0
1929,experimental,15.0,12,4.28,10.21,0.0,0.0
1930,experimenter,40.0,12,2.48,10.59,,
1931,experiments,5.0,11,4.2,,0.0,0.0
1932,expert,10.0,6,4.56,9.63,0.0,0.0
1933,experts,30.0,7,4.52,,0.0,0.0
1934,explanation,15.0,11,4.44,7.74,553.0,308.0
1935,explicitly,55.0,10,3.96,,0.0,0.0
1936,exploded,56.666666666666664,8,3.77,,0.0,0.0
1937,exploit,50.0,7,3.83,12.26,0.0,0.0
1938,exploiting,35.0,10,3.48,,0.0,0.0
1939,exploration,8.0,11,4.19,8.26,467.0,356.0
1940,explore,50.0,7,4.31,7.06,0.0,0.0
1941,explosion,33.333333333333336,9,4.22,7.16,0.0,0.0
1942,explosions,15.0,10,3.69,,0.0,0.0
1943,explosives,25.0,10,3.79,,0.0,0.0
1944,exported,12.5,8,3.56,,0.0,0.0
1945,exports,10.0,7,4.09,,0.0,0.0
1946,expose,0.0,6,3.98,10.68,446.0,0.0
1947,exposed,13.333333333333334,7,4.51,,0.0,0.0
1948,exposing,40.0,8,3.78,,0.0,0.0
1949,exposition,14.0,10,3.59,14.05,0.0,0.0
1950,exposure,26.363636363636363,8,4.44,10.44,538.0,339.0
1951,express,20.0,7,4.68,8.8,530.0,402.0
1952,expressed,18.0,9,4.52,,0.0,0.0
1953,expresses,30.0,9,3.61,,0.0,0.0
1954,expressly,20.0,9,3.48,,0.0,0.0
1955,extend,60.0,6,4.34,9.89,0.0,0.0
1956,extended,20.0,8,4.64,,0.0,0.0
1957,extending,10.0,9,4.04,,0.0,0.0
1958,extends,20.0,7,3.99,,0.0,0.0
1959,extension,16.666666666666668,9,4.46,8.65,0.0,0.0
1960,extensive,70.0,9,4.49,11.83,468.0,0.0
1961,extent,15.0,6,4.47,10.72,510.0,267.0
1962,external,3.3333333333333335,8,4.52,9.56,0.0,0.0
1963,extra,10.0,5,4.98,6.11,570.0,262.0
1964,extracted,70.0,9,3.68,,0.0,0.0
1965,extracts,15.0,8,3.45,,0.0,0.0
1966,extradition,50.0,11,3.28,13.76,0.0,0.0
1967,extrapolate,100.0,11,2.67,15.67,0.0,0.0
1968,extreme,15.0,7,4.6,9.47,557.0,265.0
1969,extremely,20.0,9,4.79,,0.0,0.0
1970,extremist,30.0,9,3.46,11.78,0.0,0.0
1971,eyewitnesses,80.0,12,2.91,,,
1975,faced,30.0,5,4.49,,0.0,0.0
1976,facilities,23.333333333333332,10,4.66,,0.0,0.0
1977,facing,26.0,6,4.5,,0.0,0.0
1978,factor,3.3333333333333335,6,4.67,9.72,499.0,328.0
1979,failed,10.0,6,4.82,,0.0,0.0
1980,failing,15.0,7,4.3,,511.0,297.0
1982,failure,5.0,7,4.72,8.0,542.0,282.0
1983,fair,0.0,4,4.99,5.67,573.0,413.0
1985,faith,10.0,5,4.82,7.62,0.0,0.0
1986,faiths,10.0,6,3.2,,0.0,0.0
1987,fall,27.5,4,5.13,4.71,572.0,409.0
1988,fallen,12.5,6,4.39,,0.0,0.0
1989,falling,15.0,7,4.66,,527.0,0.0
1990,fallout,26.666666666666668,7,3.69,10.67,,
1991,falls,10.0,5,4.63,,0.0,0.0
1992,false,10.0,5,4.63,,603.0,0.0
1993,falsely,10.0,7,3.61,,0.0,0.0
1994,falsifications,37.77777777777778,14,1.71,,0.0,0.0
1995,fame,0.0,4,4.34,7.26,0.0,0.0
1996,famed,21.11111111111111,5,3.6,9.89,0.0,0.0
1997,family,5.0,6,5.66,3.38,607.0,525.0
1999,famous,0.0,6,4.84,6.84,556.0,0.0
2000,fanned,50.0,6,2.74,,0.0,0.0
2001,far,8.0,3,5.5,,587.0,302.0
2002,farewell,31.0,8,3.89,8.43,436.0,361.0
2003,farm,0.0,4,4.75,3.85,564.0,565.0
2004,farmed,20.0,6,3.25,,0.0,0.0
2005,fashionable,20.0,11,3.65,9.67,0.0,0.0
2006,fatal,25.0,5,4.1,9.05,0.0,0.0
2007,fatalities,85.0,10,3.45,,0.0,0.0
2008,fatally,41.42857142857143,7,3.33,,,
2009,fate,15.0,4,4.36,10.3,502.0,255.0
2010,fathom,90.0,6,3.25,11.44,0.0,0.0
2011,fats,0.0,4,3.58,,0.0,0.0
2012,fault,5.0,5,4.64,6.94,541.0,315.0
2015,favorites,40.0,9,4.02,,,
2016,fear,10.0,4,4.95,4.79,569.0,326.0
2017,fearful,50.0,7,3.58,7.5,0.0,0.0
2018,fearing,10.0,7,3.59,,0.0,0.0
2019,fears,10.0,5,4.17,,0.0,0.0
2020,feasible,100.0,8,3.72,13.12,0.0,0.0
